customer_id,first_name,last_name,email,phone,signup_date,city
1,Danielle,Johnson,danielle.johnson@yahoo.com,232.318.1960,2024-08-30,New Jamesside
2,Robert,Cole,robert.cole@yahoo.com,3268542351,2024-06-12,Cassandraton
3,Jessica,Herrera,jessica.herrera@yahoo.com,584-695-9310,2026-01-03,Port Craig
4,Joshua,Reid,joshua.reid@yahoo.com,(555)434-1928,2025-02-02,Veronicaside
5,Jeffrey,Nguyen,JEFFREY.NGUYEN@GMAIL.COM,505.964.1395,2024-12-21,Thomasberg
6,John,Hoffman,john.hoffman@yahoo.com,001-496-496-5328x7101,2025-09-01,Carlsonfurt
7,Patrick  ,Ferrell,patrick.ferrell@hotmail.com,280-618-4514x627,2025-12-25,New Rita
8,Monica,Evans,monica.evans@hotmail.com,793.625.2880x95701,2024-09-12,New Stacey
9,Christopher,Tucker,christopher.tucker@gmail.com,001-682-827-8248x96383,2026-01-09,Samuelhaven
10,Shannon,Wright,SHANNON.WRIGHT@GMAIL.COM,309-583-9301x03105,2024-10-07,Lewisberg
11,Jennifer,Khan,jennifer.khan@hotmail.com,337.263.1165x6670,2024-12-26,Laurenville
12,John,Lee,john.lee@yahoo.com,(362)247-3178,2025-06-04,North Sarabury
13,Gabriel,Tucker,gabriel.tucker@gmail.com,(502)660-6474x6872,2024-08-29,New Jillton
14,Julie  ,Brown,julie.brown@hotmail.com,388.520.8121x9136,2025-04-18,New Christophershire
15,Annette,Stewart,ANNETTE.STEWART@YAHOO.COM,353.246.2475,2025-01-30,North Amandahaven
16,Joseph,Mahoney,joseph.mahoney@gmail.com,254.627.8498,2025-11-30,East Josephville
17,Julia,Moore,julia.moore@yahoo.com,+1-235-234-8740x164,2024-11-11,Lake Tina
18,Evan,Ramos,evan.ramos@hotmail.com,(280)611-2805x98262,2024-12-01,West Jasonbury
19,Elizabeth,Gomez,elizabeth.gomez@hotmail.com,(392)832-2602x56342,2025-10-23,Walkermouth
