delivery_id,order_id,courier_name,courier_phone,pickup_timestamp,delivery_timestamp,delivery_status,distance_km
1,1,Holly Valdez,984-963-8655,2026-04-03T10:20:32,2026-04-03T10:37:32,delivered,1.58
2,2,Adriana Macias,323.518.4322x259,2026-01-20T19:55:32,2026-01-20T20:27:32,failed,10.51
3,3,Gary Wilson,+1-477-239-2603x02992,2026-01-15T11:09:32,2026-01-15T11:48:32,delivered,9.74
4,4,Bridget Jackson,(986)999-0413,2026-02-17T18:32:32,2026-02-17T19:31:32,delivered,5.42
5,5,Carolyn Greer,+1-329-529-8425x799,2026-03-15T14:25:32,2026-03-15T14:51:32,delivered,5.46
6,6,Carlos Smith,386.929.1279x90881,2026-03-21T12:16:32,2026-03-21T12:45:32,delivered,10.52
7,7,Stephanie Ryan,9688650863,2026-01-27T09:07:32,2026-01-27T09:26:32,delivered,9.76
8,9,Robert Velez,001-891-662-4731x498,2026-03-27T21:22:32,2026-03-27T21:48:32,delivered,11.92
9,11,Michael Clarke,001-781-380-6356,2026-03-30T15:47:32,2026-03-30T16:24:32,delivered,3.04
10,12,Matthew King,+1-969-459-4636,2026-03-25T00:08:32,2026-03-25T00:38:32,delivered,6.12
11,13,Justin King,795-262-1372x1386,2026-01-26T23:14:32,2026-01-26T23:52:32,delivered,8.24
12,14,Vincent Smith,727-396-1143,2026-01-28T04:53:32,2026-01-28T05:32:32,failed,5.9
13,15,Misty Arias,(598)249-0277x0384,2026-03-17T22:02:32,2026-03-17T22:33:32,failed,5.57
14,16,Kayla Hale,+1-820-553-0214x656,2026-04-04T13:11:32,2026-04-04T14:03:32,delivered,5.4
15,17,Nancy Jones,584-989-5543,2026-03-15T08:22:32,2026-03-15T08:54:32,delivered,9.86
16,19,Laura Green,(981)881-8451x84894,2026-03-15T22:11:32,2026-03-15T22:44:32,delivered,8.64
17,20,Patricia Todd,001-777-290-7141x63356,2026-01-26T18:36:32,2026-01-26T18:58:32,delivered,0.75
18,21,Deborah Mitchell,(951)582-7553x9423,2026-03-05T19:50:32,2026-03-05T20:45:32,delivered,2.09
19,22,David Baker,933.295.2111,2026-04-08T04:15:32,2026-04-08T04:56:32,delivered,7.15
20,23,Kimberly Williams,459.257.9472x8463,2026-01-30T00:19:32,2026-01-30T01:00:32,delivered,4.26
21,24,Jenny Ayers,7852627187,2026-02-12T01:38:32,2026-02-12T02:14:32,delivered,10.38
22,25,Daniel Carpenter,959-842-8434x79552,2026-01-22T03:01:32,2026-01-22T03:59:32,delivered,1.12
23,26,Michael Watson,(847)529-2931x4386,2026-03-24T07:49:32,2026-03-24T08:12:32,delivered,9.13
24,27,Tyler Hernandez,6266728857,2026-04-09T04:25:32,2026-04-09T05:06:32,delivered,8.68
25,28,Laura Ross,001-620-734-7175x455,2026-02-07T17:25:32,2026-02-07T18:18:32,delivered,11.36
26,29,Bryan Dillon,+1-339-898-2455x877,2026-01-24T02:45:32,2026-01-24T03:20:32,failed,0.75
27,30,Julie Frye,(756)599-6112,2026-03-08T03:20:32,2026-03-08T04:12:32,delivered,9.44
28,31,Matthew Page,+1-464-575-9876x220,2026-03-13T20:00:32,2026-03-13T20:58:32,in_transit,10.46
29,32,Teresa Haynes,232-261-1178,2026-03-30T03:57:32,2026-03-30T04:20:32,delivered,7.12
30,33,Kelly Ferrell,649-921-6433,2026-02-06T19:54:32,2026-02-06T20:36:32,delivered,10.49
31,34,Bonnie Roberson,9054577848,2026-02-02T13:59:32,2026-02-02T14:37:32,delivered,10.86
32,37,Melissa Thompson,+1-979-668-8457x831,2026-02-15T00:37:32,2026-02-15T01:01:32,delivered,9.56
33,38,David Torres,9826547807,2026-03-03T11:27:32,2026-03-03T12:13:32,delivered,5.81
34,40,Jeffrey Carter,508.453.6866,2026-01-20T13:58:32,2026-01-20T14:57:32,delivered,11.25
35,41,Maria Clayton,641.863.8944,2026-02-16T14:51:32,2026-02-16T15:48:32,delivered,8.89
36,42,Barry Taylor,279-474-9735,2026-03-25T15:32:32,2026-03-25T16:05:32,delivered,10.97
37,44,Joseph Lopez,244-927-0312,2026-02-03T16:38:32,2026-02-03T17:29:32,delivered,5.83
38,45,Jason Floyd,457.505.1204x6187,2026-04-02T05:24:32,2026-04-02T05:47:32,delivered,4.8
39,46,Danielle James,3135673037,2026-01-15T08:32:32,2026-01-15T09:20:32,delivered,3.85
40,47,Michael Collins,520-888-1474x35031,2026-02-25T05:13:32,2026-02-25T05:31:32,delivered,5.78
41,48,Christopher Hill,763-300-9792,2026-03-23T13:03:32,2026-03-23T13:32:32,delivered,7.97
42,49,Jonathan Parks,500-252-8127x35857,2026-01-29T14:04:32,2026-01-29T14:27:32,delivered,1.58
43,50,Heather Taylor,4777848739,2026-02-13T08:33:32,2026-02-13T09:23:32,failed,10.17
44,51,John Dillon,+1-282-818-2744x857,2026-03-05T22:05:32,2026-03-05T22:29:32,delivered,9.4
45,52,Sonya Harvey,(693)751-8638x782,2026-02-11T14:53:32,2026-02-11T15:36:32,delivered,7.92
46,53,Frank Davis,+1-910-622-0317x31096,2026-03-07T17:37:32,2026-03-07T18:01:32,delivered,8.47
47,55,Daniel Robbins,7372170586,2026-01-26T07:17:32,2026-01-26T08:08:32,delivered,8.54
48,56,Deborah Williams,841-538-1138,2026-01-18T20:17:32,2026-01-18T20:52:32,picked_up,8.75
49,57,Matthew Hudson,(388)461-9576,2026-03-05T04:12:32,2026-03-05T04:58:32,delivered,5.1
50,58,Krista Wagner,+1-528-597-5585x56659,2026-03-02T18:59:32,2026-03-02T19:42:32,delivered,0.64
51,59,Joshua Garner,(277)660-0490x824,2026-02-05T01:10:32,2026-02-05T01:51:32,delivered,7.75
52,60,Mrs. Emily Ingram,001-448-488-9921x075,2026-03-06T18:28:32,2026-03-06T18:51:32,delivered,10.26
53,62,Steve Wright,341-696-9315x727,2026-04-02T06:27:32,2026-04-02T07:15:32,delivered,5.4
54,63,Robert James,001-205-756-6139x06048,2026-01-17T09:25:32,2026-01-17T09:47:32,delivered,1.27
55,65,Brittany Shaw,520.867.9981,2026-03-15T22:02:32,2026-03-15T22:26:32,delivered,0.81
56,66,James Anderson,879-408-6416,2026-02-20T15:24:32,2026-02-20T15:42:32,delivered,10.75
57,67,Karen Gonzalez,(393)389-8331x4659,2026-03-14T01:17:32,2026-03-14T02:15:32,delivered,6.46
58,68,Jessica Bailey,559-704-2597x92703,2026-02-03T04:41:32,2026-02-03T05:13:32,delivered,1.95
59,69,Nicholas Miller,001-703-592-4051x4770,2026-02-09T23:02:32,2026-02-09T23:33:32,delivered,9.39
60,70,Christy Payne,001-648-579-2069x80420,2026-03-14T07:23:32,2026-03-14T08:12:32,delivered,2.84
61,73,Lisa Brown,+1-301-764-5104x6368,2026-03-13T13:36:32,2026-03-13T14:04:32,in_transit,10.26
62,74,Mr. Brandon Gonzalez,780.703.8457x620,2026-01-28T11:31:32,2026-01-28T12:22:32,delivered,4.88
63,75,Eric Ferrell,840.546.0843x25621,2026-04-13T09:38:32,2026-04-13T10:25:32,delivered,2.41
64,76,Kenneth Simmons,495-878-2329x8324,2026-01-19T18:16:32,2026-01-19T19:05:32,delivered,7.46
65,77,Vanessa Thomas DVM,(251)788-1252,2026-04-11T13:01:32,2026-04-11T13:56:32,delivered,1.49
66,78,Jennifer Jenkins,542.531.2209x949,2026-04-05T02:40:32,2026-04-05T03:19:32,delivered,0.6
67,80,Alexander Miller,001-572-289-7526x77223,2026-02-13T22:11:32,2026-02-13T23:06:32,delivered,8.29
68,81,Wayne Schaefer,(233)831-2797x57366,2026-02-09T19:23:32,2026-02-09T19:56:32,delivered,10.74
69,82,Jennifer Crosby,001-298-580-8177,2026-04-05T14:13:32,2026-04-05T15:06:32,delivered,2.03
70,83,Jennifer Moss,+1-668-903-4764,2026-01-27T02:01:32,2026-01-27T02:39:32,delivered,11.05
71,84,Edward Ellison,001-882-877-1812x982,2026-03-29T21:29:32,2026-03-29T22:20:32,delivered,8.72
72,85,Alexander Chavez,001-337-814-5211x175,2026-03-15T04:42:32,2026-03-15T05:04:32,delivered,10.47
73,86,Vanessa Salazar,(468)460-2592,2026-03-03T20:50:32,2026-03-03T21:21:32,delivered,7.65
74,87,Michael Barnes,974-221-2309x4077,2026-04-03T15:59:32,2026-04-03T16:19:32,delivered,10.94
75,88,Katherine Robinson,+1-577-267-1990x38498,2026-04-05T23:56:32,2026-04-06T00:24:32,delivered,4.8
76,89,Anthony Bailey,(809)494-5101,2026-02-17T19:25:32,2026-02-17T20:21:32,delivered,11.64
77,90,Duane Guerrero,001-799-882-7950x145,2026-03-17T13:47:32,2026-03-17T14:02:32,delivered,1.39
78,91,Olivia Bridges,547-521-4586,2026-02-25T14:42:32,2026-02-25T15:18:32,delivered,3.86
79,92,Ashley Blair,+1-781-479-4695x4899,2026-01-23T22:22:32,2026-01-23T23:07:32,in_transit,9.55
80,93,Kathleen Daniel,872.893.4301x0713,2026-03-10T18:07:32,2026-03-10T19:07:32,delivered,8.45
81,94,Gregory Shaffer,703.244.1448,2026-04-13T12:29:32,2026-04-13T13:25:32,delivered,1.19
82,95,Gary Foster,001-290-423-5577,2026-01-22T18:25:32,2026-01-22T18:43:32,delivered,2.99
83,96,Mr. Steven Herrera,776-308-4958x80395,2026-03-24T06:59:32,2026-03-24T07:46:32,delivered,7.14
84,97,Diana Johnson,(882)399-6291x4504,2026-04-07T14:16:32,2026-04-07T14:33:32,in_transit,3.44
85,98,David Hayes DVM,984.221.5031,2026-01-19T04:33:32,2026-01-19T04:51:32,delivered,3.74
86,99,Susan Moore,378-245-2182x30768,2026-03-30T06:43:32,2026-03-30T07:13:32,delivered,1.23
87,101,Andrew Charles,657-501-8409,2026-03-06T11:25:32,2026-03-06T12:04:32,delivered,10.78
88,102,Corey Hill,771-742-2410x98813,2026-02-08T18:45:32,2026-02-08T19:04:32,delivered,8.4
89,103,Tony Brock,001-232-414-9587,2026-01-31T20:37:32,2026-01-31T21:13:32,delivered,2.7
90,104,Steven Williams,(501)366-2997x9545,2026-04-11T03:24:32,2026-04-11T04:20:32,delivered,1.68
91,105,Nicole Owens,(517)417-4773,2026-01-12T21:52:32,2026-01-12T22:48:32,delivered,3.0
92,106,Lisa Durham,(425)657-7017x1577,2026-01-24T03:18:32,2026-01-24T04:02:32,delivered,4.18
93,107,Lindsey Anderson,861-858-1487,2026-03-13T04:41:32,2026-03-13T04:59:32,picked_up,0.98
94,108,David Moore,361.953.9669x5832,2026-03-01T11:01:32,2026-03-01T11:16:32,picked_up,11.11
95,109,Kyle Nguyen,872-746-1919,2026-02-07T11:21:32,2026-02-07T11:56:32,delivered,4.89
96,110,Matthew Davis PhD,001-902-527-8469,2026-03-26T11:10:32,2026-03-26T11:32:32,delivered,6.1
97,111,Shawn Evans,+1-246-251-9098x62405,2026-04-04T12:39:32,2026-04-04T13:22:32,delivered,6.81
98,112,Samantha Howard,403-969-6566x6683,2026-02-14T20:04:32,2026-02-14T20:24:32,delivered,11.56
99,113,Justin Bridges,(462)342-2010x276,2026-03-04T13:53:32,2026-03-04T14:10:32,delivered,2.28
100,114,Robert Dalton,001-596-492-7868x765,2026-01-28T16:54:32,2026-01-28T17:51:32,delivered,1.68
101,117,Adam Jimenez,001-338-946-8950x0975,2026-02-14T23:49:32,2026-02-15T00:42:32,delivered,6.56
102,118,Angela Cross,247.781.8913x71894,2026-02-15T14:28:32,2026-02-15T15:24:32,failed,2.85
103,119,Alexandra Gibson,295.965.4420x9494,2026-03-12T19:56:32,2026-03-12T20:17:32,delivered,5.51
104,120,Laura Douglas,690-647-1281x4429,2026-03-08T05:39:32,2026-03-08T06:17:32,delivered,6.43
105,121,Alexis Rodriguez,(492)275-2437,2026-01-21T08:10:32,2026-01-21T08:52:32,delivered,11.78
106,122,Bradley Thomas,(776)263-7239,2026-01-18T22:23:32,2026-01-18T23:05:32,picked_up,1.48
107,123,Nicole Wilson,(876)974-7836,2026-03-04T21:36:32,2026-03-04T22:21:32,delivered,10.01
108,124,Joseph Graham,676-658-0185x6945,2026-03-05T00:50:32,2026-03-05T01:33:32,delivered,4.6
109,125,Dawn Silva,239.838.5258x001,2026-01-16T02:20:32,2026-01-16T03:20:32,delivered,6.5
110,126,Brian Griffin,544.330.0910,2026-03-05T13:10:32,2026-03-05T13:37:32,delivered,2.34
111,127,Barbara Gates,(369)921-2447,2026-03-25T15:46:32,2026-03-25T16:31:32,delivered,10.5
112,128,Destiny Simmons,+1-954-321-4066x50442,2026-04-08T21:04:32,2026-04-08T21:39:32,delivered,10.45
113,132,Timothy Bishop Jr.,312.686.3917x4101,2026-02-24T20:36:32,2026-02-24T21:25:32,delivered,2.88
114,133,Alicia Jimenez,+1-800-864-2569x0877,2026-02-05T04:58:32,2026-02-05T05:29:32,delivered,4.6
115,135,Priscilla Floyd,+1-730-667-1985,2026-03-29T09:14:32,2026-03-29T09:33:32,delivered,7.26
116,136,Mark Benjamin,258-851-7432,2026-02-17T15:17:32,2026-02-17T15:52:32,delivered,5.56
117,137,Elizabeth Price,257-517-3203,2026-02-19T16:41:32,2026-02-19T17:30:32,delivered,4.75
118,138,Arthur Fernandez MD,+1-370-505-0506,2026-03-16T17:53:32,2026-03-16T18:23:32,delivered,11.85
119,139,Mary Ellis,+1-482-293-1027x07903,2026-03-27T17:02:32,2026-03-27T17:58:32,delivered,7.32
120,140,Anthony Parker,579-329-1117,2026-02-14T23:26:32,2026-02-15T00:13:32,delivered,2.38
121,141,Jessica Cain,001-365-319-8253x0925,2026-01-26T01:40:32,2026-01-26T02:19:32,delivered,5.1
122,142,Peter Jackson,(282)973-9021x962,2026-03-14T04:26:32,2026-03-14T04:47:32,in_transit,10.91
123,143,Adam Howe,001-594-467-2324x876,2026-01-27T01:23:32,2026-01-27T02:08:32,delivered,4.35
124,144,Amanda White,791.545.6083x3181,2026-02-18T17:24:32,2026-02-18T17:43:32,delivered,8.34
125,145,Mark Clark,2317277220,2026-04-03T01:56:32,2026-04-03T02:28:32,delivered,11.18
126,146,Jeffrey Cook,001-970-710-8220x78113,2026-02-02T17:51:32,2026-02-02T18:41:32,delivered,6.08
127,147,Paul Villanueva,515.331.3636,2026-04-11T06:39:32,2026-04-11T07:07:32,delivered,0.55
128,148,John Zamora,(539)772-6527,2026-01-28T18:41:32,2026-01-28T19:08:32,picked_up,2.24
129,149,Christina Martinez,001-690-442-1776x253,2026-03-21T20:49:32,2026-03-21T21:25:32,delivered,2.85
130,150,Margaret Carr,(998)931-6873,2026-02-14T17:12:32,2026-02-14T17:56:32,delivered,2.56
131,151,Nicholas Fitzgerald,235.869.3929,2026-03-05T02:01:32,2026-03-05T02:40:32,delivered,5.44
